date,realised_pnl,realised_loss,delta_normal_var,delta_normal_es,delta_gamma_var,delta_gamma_es,full_revaluation_var,full_revaluation_es
2024-07-08,2400.5611865259925,-2400.5611865259925,2827.655707474778,3220.160312305098,2692.7194544695158,3150.842053434883,2493.5450212327005,3019.5316007671963
2024-07-09,1269.1219042152225,-1269.1219042152225,2977.631406125888,3390.636423750603,2659.3378565313506,2972.967566789778,2501.7936850023043,2800.5703789926165
2024-07-10,884.4270858952004,-884.4270858952004,3066.324714549538,3491.5199128649365,3005.3527503350588,3362.5641095158912,2797.924068088435,3135.0665653320557
2024-07-11,1813.5588412997167,-1813.5588412997167,3109.5655334469616,3540.55860657,3071.6818177322375,3540.9970492394086,2867.3624866524156,3289.389142341155
2024-07-12,-2739.275718037854,2739.275718037854,3151.4830620652174,3587.9396002870712,3078.2986863484853,3438.166103782147,2995.814614851332,3262.7185928894423
2024-07-15,-1617.01718384189,1617.01718384189,3070.705783518787,3496.870993174947,2718.609327305005,3102.8104484477212,2615.4800083216032,2946.726114351408
2024-07-16,-1129.7768771287301,1129.7768771287301,3004.251311538257,3421.515945103337,2779.583043299755,3161.7578838773843,2593.764067560817,2971.632387598376
2024-07-17,-1596.7587165277873,1596.7587165277873,2949.002498559834,3358.8193221835395,2825.513114570912,3066.4764734933187,2464.3698705599404,2900.4887167420143
2024-07-18,1334.8343105374515,-1334.8343105374515,2881.039340837029,3281.7485173288355,2751.3233734659852,3310.4097354043793,2622.5253582227515,3214.4792408894173
2024-07-19,-158.33056872813904,158.33056872813904,2949.801222785323,3359.7656925935344,2985.725264052972,3543.2550111574797,2817.83377163181,3326.2615075535273
2024-07-22,-256.72230997894076,256.72230997894076,2934.5935780092072,3342.380693472653,2817.0943497652706,3215.358653385107,2638.3304924451227,3018.50469587564
2024-07-23,677.243716838464,-677.243716838464,2930.1704605772425,3337.3660445582227,2737.31581616308,3150.164920864296,2569.014638278642,3065.6685678248173
2024-07-24,303.4058424252871,-303.4058424252871,2972.9378856168896,3385.949465209491,2811.309414358109,3338.463862042089,2689.8732454021615,3121.852416168902
